z,tip,sleeve
22.325,3.4503,76.7995
22.35,3.4064,73.2564
22.375,3.434,72.7776
22.4,3.4761,72.4903
22.425,3.4817,72.2988
22.45,3.5123,71.6285
22.475,3.5589,72.203
22.5,3.5897,73.2564
22.525,3.7978,79.8638
22.55,3.9756,97.9625
22.575,4.1994,106.6766
22.6,4.8292,113.2841
22.625,5.2449,115.7738
22.65,5.4772,139.9054
22.675,5.4174,169.8782
22.7,5.318,193.4352
22.725,7.0096,201.096
22.75,10.4331,205.884
22.775,12.0021,211.6296
22.8,12.8482,243.9007
22.825,13.5251,292.9298
22.85,13.0692,331.8084
22.875,11.3646,368.1014
22.9,10.0139,447.678
22.925,10.5333,504.0806
22.95,15.4232,555.5995
22.975,20.2118,686.7907
23,21.4507,807.5441
23.025,21.7861,934.8091
23.05,22.3207,741.6612
23.075,22.7874,696.5582
23.1,22.6169,696.0794
23.125,23.1396,795.4783
23.15,24.7971,855.6156
23.175,26.4639,922.7434
23.2,28.0224,1018.1203
23.225,26.8093,1114.6464
23.25,26.0105,1201.9795
23.275,25.6041,1281.0773
23.3,23.8519,1332.7877
23.325,21.2094,1353.4718
23.35,18.3088,1353.3761
23.375,16.4903,1326.276
23.4,15.4048,1320.4346
23.425,15.3696,1329.6276
23.45,15.4557,1343.034
23.475,15.8976,1362.8563
23.5,16.6891,1378.6567
23.525,16.9682,1409.9702
23.55,17.0343,1417.8226
23.575,17.198,1455.3605
23.6,17.4039,1503.9108
23.625,17.6167,1502.0914
23.65,17.9436,1496.3458
23.675,18.083,1467.905
23.7,17.0063,1419.0674
23.725,16.2821,1373.4857
23.75,15.3891,1283.3755
23.775,14.4379,1165.495
23.8,14.2929,1094.7283
23.825,14.0105,1025.9726
23.85,13.4568,994.5634
23.875,12.9061,984.1255
23.9,12.6256,983.0722
23.925,12.2272,965.9311
23.95,12.0579,916.8062
23.975,11.7566,882.5242
24,12.012,859.2545
24.025,12.597,576.954
24.05,13.4349,294.6535
24.075,16.5425,429.6751
24.1,20.7213,538.65
24.125,17.5753,683.7264
24.15,15.9552,809.0762
24.175,14.2277,923.6052
24.2,13.3243,983.1679
24.225,12.8775,886.9291
24.25,13.173,852.7428
24.275,14.0199,884.2478
24.3,14.7449,903.2083
24.325,14.0719,904.932
24.35,13.1935,902.2507
24.375,12.5913,886.163
24.4,12.5591,889.6104
24.425,12.5591,861.84
24.45,12.4388,840.9643
24.475,12.0244,750.7584
24.5,11.9175,729.787
24.525,11.9347,732.181
24.55,11.9512,753.3439
24.575,11.9337,752.2906
24.6,12.3677,770.868
24.625,13.191,804.384
24.65,13.3969,820.9505
24.675,13.8843,880.0344
24.7,14.1408,922.7434
24.725,13.6241,901.8677
24.75,12.6739,862.0315
24.775,11.0286,815.3006
24.8,10.4338,721.0728
24.825,10.205,649.6358
24.85,10.4633,618.8969
24.875,11.2305,659.5949
24.9,12.2577,736.6817
24.925,13.1826,855.3283
24.95,14.3524,969.4742
24.975,15.4772,1096.6435
25,15.9744,1147.3963
25.025,14.0827,1101.1442
25.05,12.1183,1062.1699
25.075,10.7045,937.3946
25.1,9.649,748.6517
25.125,8.8559,645.2309
25.15,8.4924,583.753
25.175,7.5651,536.0645
25.2,6.9316,517.8701
25.225,6.4922,458.2116
25.25,6.3094,421.9186
25.275,6.164,400.5641
25.3,5.9968,327.2119
